aba	acostamento/berma
pedagogia	ensino/educação
pedagogo	instrutor/docente/mestre/professor
pedaço	fatia/viga/mínimo/tira/trave/porção/fragmento
pedido	facturação/faturação/invitação/convite/consumo/conta/ordem
pedra	brita/cascalho/gravilha/mármore
pegar	abduzir/apreender/raptar/seqüestrar/sequestrar/apanhar/furtar/agarrar/agarrar/capturar/roubar/prender/segurar/segurar
penalidade	punição
penalizar	executar
penalização	punição
pensamento	projecto/conceito/concepção/programação/idéia/tema/motivo/projeto/preocupação/ideia/ideia/intenção/programa/plano
pensar	centrar/ruminar/concentrar/manufaturar/associar/cogitar/conectar/fabricar/relacionar/inventar/ponderar/especular/focar/contemplar/planejar/refletir/reter/lembrar
perceber	enxergar/ouvir/ouvir/saborear/doer/escutar/escutar/cheirar/sentir/saber/olhar/ver
percepção	tato/tato/sensação/sensação/toque/toque
percurso	órbita/trilha
perda	sacrifício
perdoar	desculpar/escusar
perecer	afogar-se/afogar
perfeição	refinamento
perfurar	morder/picar/furar/atravessar
pergunta	indagação/quesito/interrogação/desafio/questão
perguntar	interrogar/questionar
perigo	ameaça
periódico	resenha/revista/série/jornal
permanência	parada
permitir	deferir/sancionar/aturar/licenciar/autorizar/tolerar/aguentar/certificar/aprovar/suportar/admitir/admitir/aceitar
perna	coxa/braço/anca
perseguir	caçar/seguir/seguir
perseguição	tortura
personalidade	identidade
persuadir	convencer
perturbar	transtornar/preocupar
período	centúria/decênio/década/estio/fim-de-semana/inverno/outono/primavera/sazão/século/séculos/verão/manhã/mês/noitada/semestre/século/século/velhice/colheita/estágio/semana/continuidade/trimestre/fase/tarde/duração/era/era/estação/idade/idade/idade/juventude/época/época/infância/infância/ano/noite/tempo/tempo
pesar	terpena/desgosto/amargura/luto/mágoa/remorso/tristeza/tristeza/dor
pesquisa	busca/procura
pesquisar	experimentar
pessoa	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/líder/morador/pretendente/sósia/usuário/usuário/adulto/amador/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/identidade/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/aluno/caso/chefe/par/personalidade/testemunha/trabalhador/amigo/estudante/estudante/representante
pessoal	galera/vulgo/nação/estrato/geração/inimigo/mundo/população/gente/gente/povo/povo/classe
petição	cortejamento/facturação/faturação/galanteio/invitação/namoro/convite/conta/ordem
peça	cêntimo/viga/centavo/trave/pedaço
piedade	afeição
piorar	degenerar/degradar/deteriorar
pipeline	canudo/tubo
piso	cave/mansarda/porão/trapeira/sótão/ático
placa	ladrilho/disco/painel
planejamento	deliberação/cálculo
planejar	engenhar/maquinar/orquestrar/organizar
planos	complô/conspiração
planta	casademoinho/cervejaria/cervejaria/fábrica/manufatura/usina
plantar	produzir/fazer
pobreza	indigência/indigência/privação/privação/miséria/miséria
poder	influência/jurisdição/meta/técnica/inteligência/força/habilidade/talento
policial	detective/detetive/tira
poliedro	pirâmide
poliedros	pirâmide
polícia	detective/detetive/policial/tira
político	governador/prefeito
ponderar	questionar/perguntar
ponto	regiões/ocidente/selva/flecha/ponteiro/floresta/espaço/região
população	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/gente/gente/pessoal/povo/povo/classe
porrada	murro/soco
porto	cais
porção	fatia/segmento/tira/peça/seção/componente/fragmento/pedaço/parte
posição	catedra/gradação/presidência/direita/esquerda/nível/equilíbrio/proporção/cadeira/posto/formação/grau/segundo/lugar/classe
posse	possessão/propriedade
possessão	património/patrimônio/dinheiro/fazenda/herança/propriedade/bem
possibilidade	oportunidade/potenciabilidade/potencial/teoria/chance
possuir	exibir
posto	catedra/gradação/presidência/nível/cadeira/grau/segundo/classe
potpourri	seleção
povo	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/população/gente/gente/pessoal/classe
povoar	alojar/morar
prata	cêntimo/centavo
prato	salada/sopa/sobremesa/doce
precipitação	nevada/neve/chuva
predicado	feição/peculiaridade/temperamento/personalidade/pessoa
predominância	proveito/privilégio/liderança/lucro/bem
prender	enganchar/trancar/pendurar/pendurar
prenome	assinatura/visto/título
prensar	esmagar/espremer/apertar
preocupação	ansiedade/temor/medo
preparar	preservar/conservar
preparação	prática/deliberação/exercício/cálculo/marcha
prescrição	ordenamento
presente	galardão/prémio/prêmio/ajuda/momento
preso	refém
pressionar	esmagar/espremer/apertar
pressuposição	fundação/base
prestação	ordenado/salário/remuneração/pensão/retribuição
pretensão	capricho/comichão/impertinência/ambição/caprichoso/aspiração/fantasia/desejo
prezar	admirar/estimar
preço	tarifa/custos/preços/importância/magnitude/custo/custo
preços	custos/importância/magnitude/preço/preço/custo/custo
primata	mono/símio/macaco
primatas	mono/símio/macaco
prisioneiro	refém
privar	jejuar
privar-se	jejuar
problema	escândalo/dificuldade/obstáculo
proceder	aventurar/embarcar
procedimento	ramerrão/rotina/fórmula/regra
processo	ramerrão/rotina/fórmula/regra
proclamar	ditar
procurar	busca/procura/arriscar
produto	livros/película/importação/cinema/estoque/filme/inventário/mercadoria/revista/livro/produção/produção/artigo
produção	livros/película/cinema/filme/revista/livro
proferir	cochichar/xingar/balbuciar/blasfemar/rosnar/sussurrar/resmungar/murmurar/murmurar/insultar/berrar/cantar/contar/falar/gritar/dizer
professor	catedrático
profissional	jurista/advogado/crítico
progenitor	progenitora/papai/papá/painho/pai/mãe
programa	telejornais/táctica/tática/episódio/notícias/manobra
progredir	ampliar/amadurecer/envelhecer/intensificar/estender/aumentar/aumentar
progresso	reaparecimento/ressurgência/revitalização/revivalismo/ressurreição/retomada
projeto	aventura/tarefa
promessa	noivado/palavra/casamento
prometer	penhorar
promover	favorecer/preferir
pronunciar	inocentar/absolver/condenar
proponente	porta-voz/representante
proposta	assessoramento/proposição/sugestão/conselho/recomendação
propriedade	feição/isotropia/património/peculiaridade/temperamento/constituição/fraqueza/grandeza/patrimônio/característica/odor/cheiro/composição/estrutura/idade/personalidade/possessão/pessoa/fazenda/grau/herança/magnitude/qualidade/concentração/força/número/bem
propulsar	atirar/jogar/lançar/lançar
propulsionar	atirar/jogar/lançar/lançar
propulsão	pontaria/tiro
proteger	salvaguardar/assegurar/salvar/defender/defender/guardar/guardar/segurar
protestar	manifestar-se/paralizar/parar
protesto	manifestação
protetor	bombeira/bombeiro/bombeiros/bombeiro/guarda
proteção	amparo/protecção/telhado/escudo/teto/rede
protocolar	recrutar/inscrever/listar/registar/registrar
prova	crisma/confirmação/verificação
prover	apetrechar/aparelhar/equipar/suprir/alimentar/servir/servir/carregar/dar
provisionar	alimentar/servir/servir/dar
provocar	contagiar/concitar/elicitar/engendrar/filmar/infetar/infectar/procriar/recriar/copiar/gerar/compor/formar/escrever/estimular/incitar/organizar/dirigir/fazer
provérbio	lemas/mote/cambial/lema
prática	revisão/ensaio
prédio	escolas/plantel/vivenda/estufa/hall/hotel/restaurante/dormitório/viveiro/biblioteca/colégio/departamento/habitação/ruína/salão/centro/escola/casa
publicação	referência/livro/livro
punir	executar
pupilo	ouvinte
purgar	lavar
puxar	arrastar/atrair
pão	toste/pãozinho/torrada
pôr	deitar/semear/instalar/dispor/plantar/plantar/arranjar/perder/colocar/colocar/colocar/carregar
qualidade	atratividade/credibilidade/faceta/precariedade/simplicidade/incerteza/semblante/custos/humanidade/natureza/preços/probabilidade/aspecto/característica/característica/vantagem/importância/importância/valor/atração/virtude/magnitude/preço/preço/custo/custo/propriedade/aparência/dificuldade/recurso/habilidade/bem
quantidade	acrescentamento/produtos/deficiência/carência/produto/variável/aumento/número
quantificar	cronometrar/pesar
quarto	antecâmara/antessala/compartimento/estudio/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/cela/escritório/cozinha/galeria/banheiro/sala/sala/classe
quartos	dormitório
querela	controvérsia/disputa/discussão
querer	ansiar/suspirar/desejar
questionar	interrogar/perguntar
questão	indagação/quesito/interrogação/pergunta/desafio
quinta	lacticínios/leitaria/leiteria/mercearia/rancho/granja/herdade/roça/terras/fazenda
racha	fenda
raciocinar	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/especular/focar/contemplar/planejar/refletir
raciocinio	argumentação/raciocínio
raciocínio	argumentação
radiar	alumiar/piscar/cintilar/brilhar
raiva	fúria/ira/cólera
raiz	cenoura
ranger	mastigar/mascar
razoamento	argumentação/raciocínio
raça	tipo/classe
raíz	cenoura
realidade	realismo/verdade/verdade
realização	récorde/jeito/modo/crédito/maneira/ferramenta/meio/caminho
reapresentar	traduzir/citar
receber	bacharelar/beneficiar-se/formar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/auferir/colecionar/graduar/lucrar/recolher/apanhar/comprar/recuperar/coletar/formar/ganhar/ganhar/capturar/obter/obter/adquirir/encontrar/reunir/atingir/pegar
recipiente	cassete/contentores/envelope/mostrador/mostruário/penca/sobrecarta/vasilhame/xícara/balde/chávena/gaveta/gaveta/louça/molho/sobrescrito/tonel/vitrina/vitrine/cesta/copo/fardo/feixe/taça/cesto/lata/vasilha/vasilha/vaso/colher/pacote/pacote/carteira/bolsa/prato/caixa/caixa
reciprocidade	correlação
recolher	catar/colher/apanhar
recomendação	repreensão
recompensa	realeza/crédito/entrada/seguro/sinal
reconhecimento	excusa/recibo/saudação/admissão/desculpa/agradecimento/recepção
recontro	desacordo/discordo/rixa/atrito/fricção/discordância
recordar	relembrar/rever/reconhecer
recordar-se	reconhecer
recreaçao	entretenimento/esporte/hobby/celebração/diversão/entreterimento/entreterimento/entreterimento/festividade/passatempo/passatempo/divertimento/divertimento/festa/jogo/jogo/jogo
recriar	contrafazer/desempenhar/falsificar/simular/modelar/apresentar/fazer
recrutar	inscrever/registar/registrar
recta	diamêtro/diâmetro
redigir	subscrever/visar/assinar
redizer	traduzir/citar
reduzir	encurtar/resumir/condensar/abreviar/diminuir
redução	disconto/desconto/abatimento/corte
refeição	almoço/buffet/ceia/comerembanquete/desjejum/lanche/pequeno-almoço/merenda/ágape/banquete/jantar
referir	aludir/mencionar/citar
refletir	centrar/ruminar/concentrar/associar/cogitar/conectar/relacionar/ponderar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar
refrear	conquistar/sufocar/reprimir/suprimir/limitar/restringir/conter/controlar
refúgio	barraco/casebre/guarida/tenda/cabana/choupana/choça/asilo/barraca/santuário
regalar	legar/doar/distribuir/deixar/entregar/passar/dar/dar
reganhar	descobrir/encontrar/achar
reger	gerir/governar/reinar
registar	documentar/filmar/recrutar/inscrever/inscrever/listar/gravar/registrar/registrar/registrar/manter
registrar	documentar/filmar/recrutar/inscrever/inscrever/listar/gravar/registar/registar/registar/manter
registro	crónica/crônica/fichário/ficheiro
região	cerque/cima/circunscrição/colónia/comarca/districto/entorno/olimpo/paraíso/paraíso/quadra/tapera/tumba/alturas/campos/colônia/deserto/envolvente/jazida/mato/parque/praça/quarteirão/signo/túmulo/arena/cume/distrito/gramado/hemisfério/locação/lote/sepultura/território/território/céu/pico/sítio/camada/estrato/interior/junção/terreno/ambiente/bloco/topo/zona/campo/campo/campo/campo/domínio/meio/lugar
regiões	circunscrição/comarca/districto/distrito/território/domínio
regra	ordenamento
reiterar	traduzir/citar
rejeitar	desconsiderar/descartar/esnobar/ignorar/menosprezar
relato	bisbilhotice/bisbolhetice/fofoca
relatório	bisbilhotice/bisbolhetice/fofoca
relação	convivência/pertinência/relevância/afiliação/filiação/descendência/linhagem/parentesco/parentesco/associação/categoria/comparação/conhecido/fundação/amizade/afinidade/porção/possessão/sociedade/componente/propriedade/parte/ligação
relembrar	recordar/rever
relevo	florestas/arvoredo/selva/bosque/ilha/mata/floresta
relógio	despertador/relógios
relógios	despertador
remover	amputar/deletar/resgatar/cavar/escavar/extrair/retirar/apagar/sacar/sacar/tirar/tirar
remédio	terapia/dose/medicamento/medicamento
rendimento	safra/colheita
reorientação	reversão
reparação	manutenção
reparo	manutenção
repartição	parcela/parte
repasto	almoço/buffet/ceia/comerembanquete/desjejum/lanche/pequeno-almoço/merenda/ágape/banquete/jantar
repetir	traduzir/citar
repetição	ciclo
reporte	bisbilhotice/bisbolhetice/fofoca
repousar	ajoelhar-se/levantar
representante	delegada/intermediária/mostra/delegado/precedente/excepção/exceção/porta-voz/amostra/agente
representar	desvirar/distorcer/enrolar
representação	cenografia/foto/mapa/retrato/cópia/reprodução/fotografia/esquema/esquema/imagem/imagem/imagem/memória/figura/figura/ilustração/ilustração/modelo/desenho/desenho
reproduzir	fotocopiar/xerocar/replicar/simular/copiar/imitar/repetir
reprodução	replicação/réplica
repugnância	revulsão/abominação/repulsa/aversão
repulsa	revulsão/abominação/aversão
república	superpoder/superpotência/aliado
requerimento	facturação/faturação/invitação/convite/conta/ordem
requisição	facturação/faturação/invitação/convite/conta/ordem
residuo	cinzas/cinza
residência	vivenda/habitação/casa
resistência	protesto
resolver	seleccionar/adjudicar/selecionar/decidir/julgar/escolher
respeitar	admirar/estimar
respeito	estimação/apreciação
responsabilidade	desvantagem
responsabilizar	autorizar
responsável	administrador/administrador/executivo/gerente
resposta	auto-alimentação/retorno/parecer
ressoar	ticar/estalar/clicar/soar/tocar
restaurante	cafés/cafeteria/lanchonete/café
resto	fossil/fósseis/fósseis/fóssil
restringir	constrangir/classificar/conter
restrição	travão/travão/trela/freio/grilhão/algema/coleira/cadeia
resultado	auto-alimentação/efeitos/impacto/influência/retorno/efeito/efeito/produto/parecer
resíduo	detrito/negar-sea/resíduos/lixo/lixo
reta	diamêtro/diâmetro
reter	denegar/armazenar/privar/adiar/proibir/acumular/negar/negar/recusar/guardar/rejeitar
retificação	compensação/compensação
retirar	amputar/resgatar/cavar/escavar/extrair/sacar/sacar/tirar/tirar
retrato	fotografia/plano
retribuição	retaliação/revanche/vindicância/vingança
reunir	catar/colher/apanhar
reunião	audiências/cimeira/ouvintes/cimeira/elenco/foro/fórum/sessão/turba/cúpula/dupla/aula/conferência/conferência/convenção/público/compromisso/manifestação/encontro/feira/montão/par/visita/multidão/curso/classe
revestir	pintar
revista	resenha/série/jornal
ridicularizar	paquerar/desacreditar/sacanear/expor/provocar
riqueza	conforto/dinheiro
rir	paquerar/desacreditar/ridicularizar/sacanear/expor/provocar
risco	desvantagem/ameaça
rito	nupcias/casamento
ritual	nupcias/casamento
rival	campeão
rocha	brita/cascalho/gravilha/mármore
rodar	girar
rodovia	entrada/caminho
roedor	mus/rattus/camundongo/mouse/ratazana/ratazana/rato/rato
romper	quebrar
rota	órbita/trilha
rotular	inocentar/denominar/absolver/condenar/chamar/nomear
roubo	roubalheira/assalto
roupa	agasalho/farda/fardamento/lavandaria/roupas/suéter/véu/saia/vestimenta/casaco/lavanderia/pulôver/uniforme/calça/camisa/fato/vestuário/fantasia/terno/traje/traje/traje/vestido
ruminante	cervidae/cervídeo/cervo/veado
ruminantes	cervidae/cervídeo/cervo/veado
ruminar	ponderar/questionar/perguntar
rumo	moda/tendência
ruído	baterpalmas/rufo/batida/explosão
saber	disciplina/campo/realizar/compreender/domínio/entender
sabor	gosto
sacanear	paquerar/desacreditar/ridicularizar/expor/provocar
sacudir	abanar/flabelar/ventilar/estremecer/tremular/tiritar/tremer
sagacidade	astúcia
sair	demitir-se/quitar/resignar/renunciar/abandonar
sala	antecâmara/antessala/compartimento/estudio/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/cela/escritório/cozinha/galeria/quarto/banheiro/classe
salpicar	borrifar
sangue	família
sanidade	razoabilidade/sensatez
saudação	bem-vindo/recebimento/recepção/recepção
sazão	estio/inverno/outono/primavera/verão/colheita
secreção	perspiração/sudorese/suor/transpiração
secção	fatia/tira/fragmento
segmento	curva
segredo	contra-senha/password/senha
seguidor	amante
segurança	salvação/abrigo/proteção
segurar	abocanhar/apreender/armazenar/beliscar/mordiscar/espremer/morder/apanhar/acumular/apertar/furtar/negar/agarrar/guardar/roubar/prender
seleccionar	eleger/eleger/peneirar/analisar/selecionar/votar/decidir/escolher/escolher/escolher/escolher
selecionar	eleger/eleger/peneirar/analisar/votar/decidir/escolher/escolher/escolher/escolher
selecção	votação/eleição/voto
seleção	votação/eleição/voto
selo	rótulo/selodocorreio/selos/etiqueta
semblante	aspecto/efeito/cor/rosto/aparência/impressão
semelhança	similardidade/análogo/identidade
sensação	som
sentar	acocorar/acocorar-se/baixar-se/agachar
sentar-se	acocorar/acocorar-se/baixar-se/agachar
sentimento	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria
sentir	arrepender/arrepender-se/lamentar
separar	divorciar/descasar/romper/arrombar/discriminar/estourar/arrebentar/arrebentar/arrebentar/arrebentar/explodir/quebrar/quebrar
sequência	seqüência
ser	alguém/cria/cruza/embriões/merecer/predadores/criatura/embrião/flora/mestiço/perplexar/prole/animal/besta/bicho/existência/filhote/híbrido/importar/indivíduo/indivíduo/necessitar/presa/rondar/planta/valer/agradar/alma/perambular/precisar/caber/depender/vegetal/pessoa/pessoa/requerer/pertencer/presença/permanecer/confundir/contar/superar/enrolar/parecer/parecer/pesar/vida/ficar/ficar/servir
serventuário	diplomata/magistrado/embaixador/jurista/juiz/servidor
servidor	ama/arrumadeira/camareira/criada/manequim/empregada/secretário/secretária/modelo/modelo
servir	qualificar-se/qualificar/alimentar/representar/dar
sexo	engravidamento/concepção
seção	curva/capítulo/introdução/conclusão/passagem
shopping	boutique/loja/venda
significado	acepção/significação/matiz/sentido/intenção
significar	identificar/nomear
significação	acepção/matiz/sentido/significado/significado/intenção
significância	acepção/significação/matiz/sentido/significado/significado/intenção
simbolo	numeral/vareta/símbolo/selo/número
similardidade	análogo/identidade/semelhança
simpatia	afeição
sina	falhanço/falha
sinal	numeral/simbolo/símbolos/vareta/aceno/emblema/telefone/símbolo/símbolo/selo/número/número
sindicato	cartel
sintoma	fèbre/náuseas/síndroma/síndrome/náusea/febre
sistema	esqueleto/labirinto/calendário/economia/esquema/plano/rede
situação	desemprego/prontidão/recontro/repto/status/estado/inimizade/integridade/relacionamento/rapidez/complicação/confronto/conflito/hostilidade/desafio/equilíbrio/liberdade/preparação/condição/condição/condição/emprego/estado/estado/relação/meio/serviço/classe/posição
soar	ticar/estalar/clicar/tocar
sobremesa	pudim
sobretudo	paleto/jaqueta/casaco
sobreviver	gerenciar/aguentar
sociedade	guilda/clube/civilização/civilização/cultura/ordem
socorrer	assistir/ajudar/servir
socorro	consolação/consolo/apoio/mão/conforto/ajuda/suporte/serviço
sofrer	asfixiar/sufocar
software	programa
solicitação	facturação/faturação/invitação/convite/conta/ordem
solo	areia/argila/florestas/greda/arvoredo/lama/selva/bosque/ilha/mata/floresta/lama/terra
soltar	carpir/lamentar-se/latir/urrar/bramir/gemir/ladrar/rugir/gemer/uivar/berrar/berrar/gritar
solução	soluto/soluto
som	rufo/ruído/toque/batida
soma	produtos/produto/variável
sonecar	dormitar/cochilar
sorte	falhanço/falha
subida	declividade/ribeira/barranco/descida/declínio/margem
subir	galgar/trepar/ascender/montar
substância	barro/geleca/gosma/lodo/líqüido/materiais/sedimento/átomo/fluido/lama/depósito
suceder	efectuar/coincidir/conseguir/efetuar/negociar/alcançar/obter/realizar/atingir/atingir/passar
sucesso	solução/aprovação
sumir	caldear/desaparecer
superfície	biombo/ecrã/tela/tabuleiro/exterior/face/lado
superior	orientador/supervisor
superioridade	supremacia/monopólio/domínio/domínio
supervisor	capataz/chefe
suportar	acorrer/respaldar/endossar/secundar/socorrer/engolir/apoiar/assistir/auxiliar/aprovar/ajudar/aceitar
suporte	aprovaçã0/pedestal/degrau/prateleira/estante/barra/aprovação/pé/pé/base
suposição	fundação/teoria/base
suprir	apetrechar/aparelhar/equipar/carregar
suspensão	descanso/repouso/pausa
século	era/idade/época/período
série	seqüência/sequência
símbolo	numeral/selodocorreio/selos/vareta/águia/selo/selo/número
símbolos	numeral/vareta/símbolo/selo/número
sítio	cemitérios/lacticínios/leitaria/leiteria/mercearia/necrópole/rancho/campismo/cemitério/escavação/granja/herdade/roça/terras/acampamento/fazenda
sólida	plastico/plásticos/plástico/pó/vidro/cubo/cilindro/bloco
sólido	plastico/plásticos/plástico/pó/vidro/cubo/cilindro/bloco
súdito	cidadã/patriota/cidadão
súplica	cortejamento/galanteio/namoro
tacto	ritmo/tempo
talento	alfabetismo/alfabetização/atenção/meta/vontade/técnica/arte/sentido/inteligência/memória/concentração/habilidade/habilidade
tampar	disfarçar/mascarar/embrulhar/embalar/encobrir/encobrir/esconder/esconder/cobrir
tapar	disfarçar/mascarar/encobrir/encobrir/esconder/esconder
tapete	alcatifa/carpete/tapeçaria
tarefa	assintência/aventura/mão-de-obra/cuidado/dever/projeto/obrigação/trabalho
taxa	tarifa
taxon	cepa/cepa/espécie/espécie/estirpe/estirpe/variante/variante/espécies/espécies/espécie/espécie
taxón	cepa/espécie/estirpe/variante/espécies/espécie
teatro	cine/cinema
tecido	estádio/lanígero/sacada/torres/varanda/veludo/alojamento/altar/letreiro/lona/pavimento/piso/placar/ponte/prédio/roque/seda/torre/varanda/arena/balcão/cruz/monumento/monumentos/algodão/edifício/lã/painel/abrigo/renda/placa/casa/andar
tecnologia	informática
telecomunicar	telefonar/chamar
telefone	ramal
telhado	domo/cúpula
temor	estupefação/pânico/consternação/terror/medo/medo
temperamento	otimismo/identidade/personalidade
temperatura	frio/frio
tempero	sal/alho/erva
templo	mesquita/mesquita/mesquitas/catedral/igrejas/igreja
tempo	actualidade/centúria/decênio/década/estio/fim-de-semana/inverno/outono/primavera/sazão/século/séculos/verão/vindouro/manhã/mês/noitada/porvir/século/século/colheita/estágio/semana/continuidade/interrupção/trimestre/fase/horário/tarde/duração/era/era/estação/hoje/idade/idade/época/época/futuro/presente/ano/passado/suspensão/noite/pausa/período/período/período/período/período
tendência	simpatia/direção/compreensão
tendências	moda/moda
tentar	arriscar
ter	exibir/reter/guardar/segurar/manter
terminar	encerrar/finalizar/acabar/acabar
terminação	abortação/abortamento/aposentadoria/aborto
termino	abortação/abortamento/aposentadoria/aborto
termo	nomenclatura/terminologia/vocábulo/palavra
terra	areia/argila/florestas/greda/arvoredo/lama/selva/bosque/ilha/mata/floresta/lama
terreno	prados/tapera/campos/cercado/clareira/deserto/parque/praça/grama/gramado/gramado/locação/lote/pátio/relva/jardim/quintal/santuário/sítio/prado/campo/campo/campo/lugar
território	empreendimento/quadra/jazida/quarteirão/arena/bloco
terror	estupefação/pânico/consternação/medo/medo
teto	domo/cúpula
texto	missiva/rascunho/melodia/carta/linha
tinta	pigmento/pintura/cor
tipo	variante/versão/classe
tirar	amputar/deletar/arrastar/resgatar/cavar/escavar/extrair/retirar/atrair/apagar/sacar/sacar
tocador	cantador/cantor/vocalista
tocar	rodear/contornar/atirar/jogar/lançar/lançar
tolerar	engolir/aceitar
tomar	bebericar/deglutir/ingurgitar/papar/abduzir/fumar/raptar/seqüestrar/sorver/sequestrar/beber/engolir/comer/agarrar/capturar/experimentar/provar/segurar/pegar
tomo	fatia/tira/fragmento
topar	adoptar/adotar
toque	impacto
torcer	acovardar/acovardar-se/debruçar/agachar/curvar/inclinar/inclinar/dobrar
tornar	descontrair/perecer/prosperar/agasalhar/aparelhar/engravidar/falecer/levantar-se/despertar/expirar/conceber/relaxar/decair/piorar/acordar/morrer/vestir/congelar
tornar-se	rolar/girar/virar
torneio	competição/corrida/combate/partida/jogo/luta
totalidade	unidade
trabalhador	criado/fura-greve/fura-greve/assalariado/ajudante/assistente/empregado/voluntário/servidor/servidor/operário
trabalho	assintência/chácara/estudio/laboratorio/laboratórios/laboratórios/estúdio/granja/mão-de-obra/quinta/laboratório/oficina/cuidado/publicação/sítio/edição/dever/projeto/tarefa/fazenda/obrigação
traje	farda/fardamento/roupas/vestimenta/uniforme/vestuário/fantasia/roupa/roupa
transa	engravidamento/concepção
transação	comercialismo/transacção/mercantilismo/negócio/comércio/comércio
transferir	mandar/ceder/enviar/entregar/passar/dar
transferência	baldeação/correspondência/conexão
transformar	transformar-se/tornar-se/acontecer/virar
transformação	transição/mudança
transgressão	infringemento/violação/pecado/crime/ofensa
transmissão	multimedia/multimédia
transmitir	indagar/anuir/assentir/mensurar/quantificar/redigir/agradecer/mandar/solicitar/requisitar/perguntar/requerer/saudar/escrever/apreciar/pedir/enviar/falar/dizer
transmutar	transformar-se/tornar-se/transformar/acontecer/virar
transmutação	transição/mudança
transportar	trazer/trazer/levar/carregar/carregar/tirar
transportação	frete
transporte	baldeação/frete/correspondência/conexão
trapacear	roubar
traqueófitos	maconha
traslado	vacilação/migração/precipitação/regresso/retorno
tratar	amimar/destratar/mimar/abusar/mimosear/maltratar/afagar
traumatismo	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
trazer	mandar/enviar
traço	bochecha/chinchilla/mento/testa/têmpora/queixo
treinamento	prática/exercício/marcha
treino	prática/exercício/marcha
tremer	abanar/flabelar/ventilar/estremecer/tremular/tiritar
trevas	escuridão
trilha	passadeira/faixa
tristeza	terpena/desgosto/amargura/luto/mágoa/remorso/dor/pesar/pesar
triunfo	solução/aprovação
trocar	remir/permutar/resgatar/vender
tronco	bolbo/galho/galho/ramo/cebola
trâmite	caminho
tubo	canudo
tumores	neoplasia/tumor
tumulto	freneticidade
turista	cavalgador/estrangeira/galopante/galopeador/pedestre/cavaleiro/visitante/passageiro/peão/visita/estrangeiro
táctica	complô/conspiração
táxon	cepa/espécie/estirpe/variante/espécies/espécie
técnica	alfabetismo/alfabetização/metodologia/metodólogia/metodologia/metodologias/arte/habilidade
têxteis	lanígero/veludo/lona/seda/algodão/lã/renda
tópico	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/assunto/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção
ungulados	égua/cavalo
unidade	molécula/peso
unificação	coalescência
unir	fixar/amarrar/atar/prender
universo	natureza
união	guilda/clube/federação/confederação/sociedade/conexão/ordem/ligação
usina	casademoinho/cervejaria/cervejaria/fábrica/manufatura
uso	utilização/aplicação
utilização	aplicação
vantagem	proveito/privilégio/liderança/lucro/bem
vara	clava/porrete
variação	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/prejuízo/queda/surpresa/diminuição/abatimento/morte/mudança
variedade	variante/versão
varão	garoto/moço/rapaz/menino/homem
vasilha	caçamba/cuba/cubeta/garrafa/tina/balde/barril/biberão/botelha/frasco/tonel/banheira/banheira/barril/pote/garrafa/garrafa/tigela
vasilhame	caçamba/cuba/cubeta/garrafa/tina/balde/barril/biberão/botelha/frasco/tonel/banheira/banheira/barril/pote/vasilha/garrafa/garrafa/tigela
vaso	caçamba/cuba/cubeta/garrafa/tina/balde/barril/biberão/botelha/frasco/tonel/banheira/banheira/barril/pote/vasilha/garrafa/garrafa/tigela
vegetal	aboboreira/jerimum/pepineiro/espinafre/pepino/abóbora
vegetação	jardim
venda	almoeda/arrematação/hasta/leilão
venerar	admirar/estimar
vento	aragem/maresia/zefir/zéfiro/brisa
ver	fitar/prezar/respeitar/revistar/venerar/vislumbrar/espiar/encarar/contemplar/olhar/procurar
verbalizar	cochichar/xingar/balbuciar/blasfemar/rosnar/sussurrar/publicar/resmungar/murmurar/murmurar/insultar/berrar/cantar/escrever/contar/falar/gritar/dizer
verbo	nomenclatura/terminologia/vocábulo/termo/palavra
verdade	detalhe/observação
verdura	aboboreira/jerimum/pepineiro/pepino/abóbora
vergar	acovardar/acovardar-se/debruçar/agachar/curvar/inclinar/inclinar/dobrar
vergonha	ignomínia/desgraça
vertebrado	répteis/réptil/ave/pássaro
